source,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,target
Pakistan,500.0,750.0,1210.0,1280.0,1280.0,1280.0,1350.0,1890.0,2110.0,2300.0,2390.0,2300.0,2470.0,2920.0,2820.0,1880.0,-640.0,2510.0,Victoria
Pakistan,20.0,10.0,20.0,0.0,20.0,20.0,30.0,30.0,40.0,130.0,40.0,90.0,40.0,90.0,150.0,100.0,-40.0,100.0,Tasmania
Pakistan,100.0,100.0,140.0,150.0,150.0,200.0,210.0,240.0,360.0,480.0,480.0,350.0,470.0,520.0,530.0,450.0,20.0,310.0,South Australia
Pakistan,100.0,120.0,190.0,190.0,300.0,250.0,310.0,410.0,600.0,600.0,500.0,520.0,470.0,400.0,450.0,290.0,-70.0,240.0,Queensland
Pakistan,-10.0,0.0,10.0,20.0,10.0,20.0,10.0,30.0,50.0,30.0,40.0,40.0,50.0,60.0,60.0,30.0,-10.0,90.0,Northern Territory
Pakistan,650.0,730.0,1110.0,1170.0,1390.0,1370.0,1500.0,1960.0,2300.0,2500.0,2960.0,2710.0,2860.0,3100.0,2740.0,2090.0,80.0,2740.0,New South Wales
Pakistan,30.0,50.0,80.0,60.0,90.0,90.0,60.0,100.0,170.0,170.0,210.0,120.0,120.0,140.0,110.0,40.0,-20.0,140.0,Australian Capital Territory
New Zealand,1750.0,2250.0,2950.0,5100.0,4430.0,2740.0,5780.0,9020.0,5770.0,570.0,-1160.0,-2180.0,-2040.0,-790.0,-230.0,-240.0,-700.0,730.0,Western Australia
New Zealand,3040.0,3240.0,3570.0,4090.0,3810.0,3290.0,6060.0,7090.0,5640.0,2740.0,1630.0,2050.0,1790.0,1910.0,1780.0,410.0,-1760.0,1500.0,Victoria
New Zealand,20.0,70.0,80.0,110.0,130.0,80.0,40.0,100.0,90.0,0.0,-20.0,-10.0,10.0,10.0,20.0,40.0,-20.0,70.0,Tasmania
New Zealand,320.0,350.0,320.0,480.0,450.0,310.0,510.0,600.0,340.0,50.0,-60.0,-20.0,30.0,70.0,50.0,-20.0,-30.0,110.0,South Australia
