source,target,sum
Vietnam,Western Australia,2240.0
Vietnam,Victoria,12730.0
Vietnam,Tasmania,400.0
Vietnam,South Australia,2890.0
Vietnam,Queensland,3750.0
Vietnam,Northern Territory,350.0
Vietnam,New South Wales,13030.0
Vietnam,Australian Capital Territory,470.0
"UK, CIs & IOM",Western Australia,4300.0
"UK, CIs & IOM",Victoria,8470.0
"UK, CIs & IOM",Tasmania,430.0
"UK, CIs & IOM",South Australia,2390.0
"UK, CIs & IOM",Queensland,7970.0
"UK, CIs & IOM",Northern Territory,-110.0
"UK, CIs & IOM",New South Wales,12540.0
"UK, CIs & IOM",Australian Capital Territory,340.0
Sri Lanka,Western Australia,2010.0
Sri Lanka,Victoria,17520.0
Sri Lanka,Tasmania,260.0
Sri Lanka,South Australia,1920.0
Sri Lanka,Queensland,2560.0
Sri Lanka,Northern Territory,400.0
Sri Lanka,New South Wales,4440.0
Sri Lanka,Australian Capital Territory,360.0
South Africa,Western Australia,5130.0
South Africa,Victoria,4700.0
South Africa,Tasmania,330.0
South Africa,South Australia,2080.0
South Africa,Queensland,7640.0
South Africa,Northern Territory,330.0
South Africa,New South Wales,9180.0
South Africa,Australian Capital Territory,360.0
Philippines,Western Australia,8550.0
Philippines,Victoria,19020.0
Philippines,Tasmania,510.0
Philippines,South Australia,3890.0
Philippines,Queensland,13020.0
Philippines,Northern Territory,1430.0
Philippines,New South Wales,25070.0
Philippines,Australian Capital Territory,1130.0
Pakistan,Western Australia,2750.0
Pakistan,Victoria,11960.0
Pakistan,Tasmania,440.0
Pakistan,South Australia,2300.0
Pakistan,Queensland,1780.0
Pakistan,Northern Territory,280.0
Pakistan,New South Wales,13610.0
Pakistan,Australian Capital Territory,530.0
Nepal,Western Australia,2920.0
Nepal,Victoria,15070.0
Nepal,Tasmania,900.0
Nepal,South Australia,3870.0
Nepal,Queensland,6850.0
Nepal,Northern Territory,860.0
Nepal,New South Wales,60080.0
Nepal,Australian Capital Territory,830.0
Iraq,Western Australia,400.0
Iraq,Victoria,8530.0
Iraq,Tasmania,130.0
Iraq,South Australia,240.0
Iraq,Queensland,2020.0
Iraq,Northern Territory,20.0
Iraq,New South Wales,17730.0
Iraq,Australian Capital Territory,390.0
India,Western Australia,17440.0
India,Victoria,110060.0
India,Tasmania,2160.0
India,South Australia,18970.0
India,Queensland,25280.0
India,Northern Territory,1590.0
India,New South Wales,86640.0
India,Australian Capital Territory,3940.0
China,Western Australia,2720.0
China,Victoria,21530.0
China,Tasmania,1430.0
China,South Australia,4140.0
China,Queensland,8320.0
China,Northern Territory,360.0
China,New South Wales,22060.0
China,Australian Capital Territory,500.0
