,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
New South Wales,125180.0,132750.0,150600.0,170960.0,169020.0,144210.0,141980.0,140860.0,152630.0,155530.0,160910.0,170890.0,198300.0,191450.0,194270.0,172430.0,70530.0,145820.0
Victoria,81230.0,89860.0,108600.0,123450.0,132640.0,109130.0,104900.0,112280.0,119250.0,122250.0,128170.0,140220.0,159630.0,161170.0,168310.0,150640.0,27140.0,120480.0
Queensland,65390.0,73070.0,86490.0,99670.0,103110.0,84890.0,84250.0,93210.0,92800.0,83800.0,78980.0,83170.0,87820.0,85440.0,91660.0,85590.0,23440.0,58580.0
South Australia,16620.0,20550.0,23490.0,25160.0,27260.0,24820.0,20160.0,22980.0,22580.0,23620.0,23280.0,23410.0,23820.0,24100.0,26650.0,27740.0,6020.0,20940.0
Western Australia,39980.0,47170.0,53830.0,66150.0,69710.0,57920.0,64930.0,77980.0,74380.0,60030.0,53290.0,51540.0,48640.0,44190.0,48080.0,50400.0,12970.0,30560.0
Tasmania,3170.0,3400.0,3440.0,3900.0,4290.0,4010.0,3470.0,3780.0,3920.0,4190.0,4210.0,4210.0,4700.0,5110.0,5880.0,6510.0,1610.0,5150.0
Northern Territory,4430.0,3910.0,4560.0,4710.0,5540.0,4670.0,4810.0,6750.0,7840.0,6260.0,6900.0,6370.0,6900.0,5020.0,5550.0,4120.0,1450.0,4910.0
Australian Capital Territory,5410.0,5830.0,6420.0,7350.0,8190.0,8270.0,7270.0,9490.0,8690.0,8990.0,9520.0,9470.0,10330.0,10970.0,9950.0,9380.0,2810.0,8450.0
