type,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Family,28430,30400,32480,33100,35060,35580,33730,34770,35230,35510,32050,31590,29680,26280,24290,20300,15650,24790
Special eligibility & humanitarian,13580,12320,12400,9470,11630,9920,9180,7700,8540,13170,11690,11080,24120,12190,15340,13000,590,7340
Education,66180,73090,103720,133730,152760,106660,75350,73270,86220,114330,122120,132130,149410,157630,164350,110440,1520,136970
Working holiday,12930,17080,21630,29120,34300,33030,43460,54620,59250,54190,51600,50100,50330,50990,49090,43950,1020,13480
Visitors,35770,36100,37590,49990,42340,40260,41710,42720,47920,44440,50240,60550,72270,79430,91220,117740,7700,39010
Skilled,52640,70480,83390,95610,92420,67410,68660,88860,81480,73200,73730,72340,78830,70260,70830,50120,23570,49710
Other,12970,11220,10550,10860,9720,9320,10770,11350,12180,12670,12990,14560,16390,18450,20940,29000,16480,36480
